seq,title,genre,text,reviewer,rate,like,comment
0,이터널스,2021 ? 판타지/액션/모험 ? 미국,마블리가 진짜 Marvel Lee가 돼버렸네,강민,4,529,4
1,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블 이라서 할 수 있는 이야기지만, 마블 답지 않은 이야기.

난 분명 테마파크 즐기러 왔는데..
여긴 어디? 나는 누구?

마동석, BTS, 포도봉봉.. 그리고 그놈의 작위적이고 노골적인 다양성..

그래 다 좋다 이거야..
그런데 히로시마는 좀 선 넘는거 아니냐?
디즈니 도랐나..",영화보고 밥먹고 커피마시고 산책해요,3,337,29
2,이터널스,2021 ? 판타지/액션/모험 ? 미국,"이것은 마블이 전하고자 하는 인간성과 생명력, 그리고 사랑에 관하여 써 내려간 새로운 '이야기'.",gwan,4,332,4
3,이터널스,2021 ? 판타지/액션/모험 ? 미국,인피니티 사가가 휩쓸고간 우주와 지구에서 다시 거대하고 대담하게 터를 닦는다.,이동진 평론가,3,281,12
4,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블역사상 최악의 작품.
1. 저예산을 찍다가 규모있는 프로젝트로 망가지는 감독들의 전형적인 작품.
2. 블랙위도우는 기존캐릭터의 존재감 때문에 평작으로 남았고 샹치는 양조위의 존재감으로 그나마 망조의 길을 벗어났다. 이터널스는 아무것도 없다.
3. 배우들의 연기가 붕 뜬다. 슬플때 슬프지 않고 기쁠때 기쁘지 않았다. 심지어 안젤리나 졸리의 얼굴에선 혼돈스러움이 느껴진다.
4. 차라리 디즈니플러스의 드라마로 만들었다면 어땠을까?",영화는 나의 힘,2,275,14
5,이터널스,2021 ? 판타지/액션/모험 ? 미국,"잘나가다 미끄러지는 게 마블, DC 반반 섞어 놓은 것 같네

그래도 마블의 코믹적인 요소들을 자제하고 진지하게 이야기를 풀어 나가는 점과 기원전 시대 배경을 구경하는 재미가 쏠쏠했다.",신동연,3,273,4
6,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블보다는 클로이자오의 색이 더 강했던, 인류의 역사와 기억, 그리고 미래에 관한 거대한 이야기. 오락을 기대하기보다는 인간과 신의 경계 어디쯤 위치한 이터널스의 정체성을 확립해나가는 필연적 과정이라고 여겨야할듯. 결함이 있기에 인간은 존재의 의미가 있으며, 역사를 기억해야 앞으로 나아갈 수 있다는 것.
그리스 신화에서 따온 이터널들의 이름과 능력이 인상적이다. 새롭고 낯선 세계관임에도 깔끔하고 친절하게 모든 캐릭터를 머릿속에 각인시켜준다는 점이 최고 장점. 잔잔하지만 150분이지만 긴 러닝타임이 납득되는 편.
+) 젬마 찬의 영국발음
+) 안젤리나 졸리와 마동석의 꽤 괜찮은 케미, 골고루 분배된 분량에 비해 상당한 두 캐릭터의 존재감
+) 마카리 캐릭터의 액션을 보는게 가장 즐거웠음
+) 배리 키오건의 드루이그 캐릭터 역시 매력적",film fantasia,3.5,225,6
7,이터널스,2021 ? 판타지/액션/모험 ? 미국,"이 자본과 이 배우를 데리고 이렇게까지 못 만든 것도 재주다
작품을 잘 만들어야 예술영화지... 이건 예술도 아님..
이야기 다 빠개놓고 저 멀리의 햇빛과 풍경 찍는 데 힘을 쏟으면 열 받아요 안받아요",혜원,2,197,14
8,이터널스,2021 ? 판타지/액션/모험 ? 미국,"감독의 장점도 마블의 매력도 사라진..

# 클로이 자오 x 마블의 협업은 깊이있는 스토리와 마블의 캐쥬얼함이 어우러져 시너지를 바랬으나 두가지 모두 어정쩡한 결과물이 나왔다. 감성과 재미 모두 놓친것 같다.
# 메인 스토리, 캐릭터의 설명 모든게 부족한 것 같다
# 우주적 존재들이 나와서일까? 윈터솔져와같은 진한 타격감도 아이언맨과 같은 찰진 질감도 사라져 버렸다. 허공에 휘적거리는 움직임만이 남았다. 이는 앞으로의 마블 영화에 대한 걱정이기도 하다.
# 그럼에도 마카리의 역동적인 움직임이나 장엄한 배경은 멋지게 느껴지기도 했다.
# 화면은 너무 어두웠고, 사운드는 거대한 얘기를 담기엔 임팩트가 없었다.
# 단점이 뚜렷함에도 그러저럭 만족하면서 볼 수 있었던 것은 이처럼 거대하고 원론적이며 담대한 얘기를 함에도 어느정도의 선은 지키면 꿋꿋이 이어나간다는 것이다. 앞으로의 마블 영화에 있어서 방향성을 보여준 것 같다.
# 수천년을이어온 졸리누님의 매력은 대단했다.
# 마블리는 항상 귀엽다.
# 집에 오는 길에 왠지 모르게 ‘사랑으로’ 노래가 계속 생각났다.",메뚜리언,2.5,193,1
9,이터널스,2021 ? 판타지/액션/모험 ? 미국,"나는 정통파(?) MCU 팬이 아니라서
일반적인 관람평들과는 달리
&lt;이터널스&gt;가 오히려 내 취향이었다..

스페이스 오페라의 세계관을
선과 악의 선명한 대립으로 설정하고
히어로를 통해 카타르시스를 추구하는
서구 스타일의 단선적 구도는 다소 식상하다..

그런 측면에서 &lt;이터널스&gt;는 분명 ‘다르다’..
선과 악의 구분점이 흐릿하게 흔들리고
보다 중층적인 ‘관계’를 바라보는 시선은
헐리웃의 전형적 문법이 아니어서 좋았다..

클로이 자오 감독의 색깔로
다소는 낯선 분위기의 MCU 작품 하나가
나름 의미있게 잘 뽑혀져 나온 셈이다..

자오 감독이 국내 매체와 인터뷰하면서
“꼭 아이맥스로 보세요”라고 하던데,
역시 용아맥은 제 값을 해준다.. :)

모쪼록 세상을 다양하게 바라보는 시각이
하루하루 더 힘을 얻게 되어서
자오 감독의 &lt;이터널스&gt; 후속편을
머지 않은 시기에 다시 만날 수 있기를..

20211106 CGV용산IMAX C19 (21.29)",최승필,4,173,9
